Rec,Inf,Name,Position,Club,On Loan From,Based,Asking Price,Wage,Expires,Nat,2nd Nat,Home-Grown Status,Height,Weight,Preferred Foot,Age,Personality,Media Handling,Transfer Value,Apps,Mins,Gls,Ast,Clean sheets,xG - Goals,npxG,npxG - npG,npxG per 90,npxG per Shot (min. 10 shots),Offsides per npxG (min. 1 npxG),Assist per Key Pass (min. 5 KP),Net Fouls,Yellow Cards per Tackle,Tackles Won per 90,Defensive Actions per 90,Apps,Starts,Mins,Mins/Gm,Av Rat,Gls,Gls/90,Shots,ShT,Shot %,Shot/90,ShT/90,Pens,Pens S,Pen/R,Off,xG,CCC,Ch C/90,Ast,Asts/90,K Pas,K Ps/90,Pas A,Ps A/90,Ps C,Ps C/90,Pas %,Cr A,Cr C,Cr C/A,Drb,Drb/90,FA,Distance,Hdrs A,Aer A/90,Hdrs,Hdrs W/90,Hdr %,K Tck,Tck W,Tck,Tck R,Fls,Yel,Red,Itc,Int/90,Clear,Conc,Con/90,Clean sheets,xSv %,Svh,Svt,Svp,Sv %,Pens Faced,Pens Saved,Pens Saved Ratio,PoM,Substitute Appearances,Minutes per Game,Tackles Attempted,Distance per 90
- - -,,Alfonso Pedraza,D/WB/M/AM (L),Villarreal,,Spain (First Division),-,"£24,500 p/w",30/6/2025,ESP,,-,"6'0""",73 kg,Left,27,Fairly Sporting,Scouting Required,£8.2M - £13M,14,"1,214",0,1,-,0.11,0.11,0.11,0.008,,,0.071,18,0.029,2.446,14.49,14,14,"1,214",175.82,6.94,0,-,2,0,0%,0.15,0,0,0,-,1,0.11,0,-,1,0.07,14,1.04,786,58.27,714,52.93,91%,79,15,18%,4,0.3,8,182.5km,81,6,58,4.3,72%,3,33,2.45,94%,26,1,0,39,2.89,50,-,-,-,-,-,-,-,-,35,0,-,0,,86.71,35,13.53
- - -,,Carles Aleñá,M/AM (C),Getafe,,Spain (First Division),-,"£66,000 p/w",30/6/2026,ESP,,-,"5'11""",73 kg,Left,25,Fairly Ambitious,Scouting Required,£25M - £32M,12,819,0,0,-,1.47,1.47,1.47,0.162,0.105,0,0,-2,0.063,1.4,5.52,12,12,819,68.25,6.96,0,-,14,5,36%,1.54,0.55,0,0,-,0,1.47,6,0.66,0,-,19,2.09,660,72.53,585,64.29,89%,10,4,40%,5,0.55,13,110.6km,27,2.97,19,2.09,70%,0,14,1.54,88%,11,1,0,10,1.1,11,-,-,-,-,-,-,-,-,16,0,-,0,,68.25,16,12.154
- - -,,Kike,"DM, M/AM (C)",Valladolid,,Spain (First Division),-,"£19,250 p/w",30/6/2026,ESP,,-,"6'0""",80 kg,Left,26,Balanced,Scouting Required,£250K - £6.6M,9 (1),801,1,1,-,0.15,1.15,0.15,0.129,0.072,0.87,0.111,-2,0,0.889,6.04,9 (1),9,801,80.1,6.83,1,0.11,16,7,44%,1.8,0.79,0,0,-,1,1.15,4,0.45,1,0.11,9,1.01,479,53.82,400,44.94,84%,13,3,23%,12,1.35,8,121.8km,61,6.85,36,4.04,59%,0,8,0.9,73%,6,0,0,11,1.24,6,-,-,-,-,-,-,-,-,11,0,-,0,1,80.1,11,13.685
- - -,,Pejiño,"M (L), AM (RL)",Las Palmas,,Spain (First Division),-,"£10,250 p/w",30/6/2025,ESP,,-,"5'10""",67 kg,Left,27,Balanced,Scouting Required,£95K - £6.6M,11,893,3,1,-,-0.93,2.07,-0.93,0.209,0.115,1.93,0.067,-3,0,1.3,7.25,11,11,893,81.18,7.05,3,0.3,18,7,39%,1.81,0.71,0,0,-,4,2.07,1,0.1,1,0.1,15,1.51,416,41.93,367,36.99,88%,37,7,18%,21,2.12,14,123.9km,65,6.55,30,3.02,46%,0,13,1.31,76%,11,0,0,19,1.91,16,-,-,-,-,-,-,-,-,17,0,-,1,,81.18,17,12.487
- - -,,Kasim Adams,D (C),Hannover 96,,Germany (Bundesliga),-,"£45,000 p/w",30/6/2027,GHA,,-,"6'3""",83 kg,Right,28,Ambitious,Scouting Required,£500K - £9.4M,13,"1,170",1,1,-,-0.3,0.7,-0.3,0.054,,,,0,0.056,1,21.45,13,13,"1,170",180,7.13,1,0.08,7,1,14%,0.54,0.08,0,0,-,1,0.7,1,0.09,1,0.08,2,0.15,681,52.38,654,50.31,96%,2,0,0%,1,0.08,8,134.6km,177,13.62,156,12,88%,2,13,1,72%,8,1,0,29,2.23,94,-,-,-,-,-,-,-,-,18,0,-,0,,90,18,10.354
- - -,,Unai Núñez,D (RC),A. Bilbao,,Spain (First Division),-,"£16,250 p/w",30/6/2025,ESP,BAS,-,"6'1""",80 kg,Right,26,Fairly Loyal,Scouting Required,£25M - £32M,8 (1),634,0,0,-,0.16,0.16,0.16,0.023,,,,0,0.222,0.875,16.52,8 (1),8,634,70.44,6.93,0,-,3,0,0%,0.43,0,0,0,-,0,0.16,1,0.14,0,-,4,0.57,374,53.09,344,48.83,92%,27,5,18%,3,0.43,9,79.9km,72,10.22,58,8.23,81%,0,7,0.99,78%,9,2,1,19,2.7,44,-,-,-,-,-,-,-,-,9,0,-,0,1,70.44,9,11.342
- - -,Set,Pablo Fornals,"M (C), AM (LC)",West Ham,,England (Premier Division),-,"£80,000 p/w",30/6/2026,ESP,,-,"5'10""",67 kg,Right,27,Model Citizen,Scouting Required,£57M - £70M,11 (4),998,3,2,-,1.38,4.38,1.38,0.395,0.156,0.23,0.154,-5,0.059,1.353,5.48,11 (4),11,998,193,7.02,3,0.27,28,12,43%,2.53,1.08,0,0,-,1,4.38,4,1.06,2,0.18,13,1.17,702,63.31,611,55.1,87%,10,1,10%,17,1.53,15,160.2km,67,6.04,26,2.34,39%,0,15,1.35,88%,10,1,0,19,1.71,6,-,-,-,-,-,-,-,-,17,0,-,0,4,66.53,17,14.447
- - -,,José Machín,"DM, M/AM (C)",Monza,,Italy (Serie A),-,"£8,000 p/w",30/6/2024,EQG,ESP,Trained in nation (15-21),"6'0""",74 kg,Right,27,Resolute,Scouting Required,£275K - £2.7M,8 (2),626,1,0,-,-0.61,0.39,-0.61,0.056,,,,4,0.125,0.714,7.02,8 (2),8,626,131.78,6.72,1,0.14,6,3,50%,0.86,0.43,0,0,-,2,0.39,0,-,0,-,4,0.58,394,56.65,361,51.9,92%,13,4,30%,0,-,0,94.0km,31,4.46,21,3.02,68%,0,5,0.72,63%,4,1,0,13,1.87,14,-,-,-,-,-,-,-,-,8,0,-,0,2,62.6,8,13.514
- - -,Inj,Óscar Melendo,M/AM (C),Espanyol,,Spain (First Division),-,"£40,000 p/w",30/6/2026,ESP,,-,"5'6""",65 kg,Left,26,Fairly Determined,Scouting Required,£8.2M - £10.5M,9,712,0,0,-,0.18,0.18,0.18,0.023,,,0,-3,0,0.5,5.84,9,9,712,79.11,6.84,0,-,3,0,0%,0.38,0,0,0,-,1,0.18,1,0.13,0,-,9,1.14,539,68.13,482,60.93,89%,4,0,0%,3,0.38,8,101.6km,24,3.03,14,1.77,58%,1,4,0.51,57%,5,0,0,8,1.01,14,-,-,-,-,-,-,-,-,7,0,-,0,,79.11,7,12.843
- - -,,David García,D (C),Atlético Pamplona,,Spain (First Division),-,"£23,000 p/w",30/6/2027,ESP,BAS,-,"6'1""",75 kg,Right,29,Balanced,Scouting Required,£13.5M - £21M,10,900,0,0,-,0.23,0.23,0.23,0.023,,,,2,0.25,1.1,20.66,10,10,900,90,7.21,0,-,3,0,0%,0.3,0,0,0,-,0,0.23,0,-,0,-,0,-,654,65.4,614,61.4,94%,1,0,0%,0,-,5,96.0km,125,12.5,97,9.7,78%,3,11,1.1,92%,7,3,0,15,1.5,76,-,-,-,-,-,-,-,-,12,0,-,0,,90,12,9.6
- - -,,Carles Pérez,"M (C), AM (R)",Mainz 05,,Germany (Bundesliga),-,"£47,500 p/w",30/6/2027,ESP,,-,"5'8""",75 kg,Left,25,Balanced,Scouting Required,£6.2M - £8M,12,877,0,2,-,0.66,0.66,0.66,0.068,,,0.154,-8,0.067,1.3,6.9,12,12,877,130.9,6.8,0,-,5,1,20%,0.51,0.1,0,0,-,0,0.66,0,-,2,0.21,13,1.33,641,65.78,579,59.42,90%,14,2,14%,5,0.51,14,124.3km,26,2.67,19,1.95,73%,1,13,1.33,87%,6,1,0,16,1.64,14,-,-,-,-,-,-,-,-,15,0,-,0,,73.08,15,12.756
- - -,,Marc Cucurella,D/WB/M/AM (L),Brighton,,England (Premier Division),-,"£82,000 p/w",30/6/2028,ESP,,-,"5'8""",68 kg,Left,25,Driven,Scouting Required,£34M - £53M,9,690,0,0,-,,,,,,,0,7,0.111,2.125,13.67,9,9,690,76.67,6.86,0,-,1,0,0%,0.13,0,0,0,-,3,0,2,0.26,0,-,16,2.09,292,38.09,256,33.39,88%,48,14,29%,9,1.17,10,95.3km,49,6.39,31,4.04,63%,1,17,2.22,94%,17,2,0,24,3.13,30,-,-,-,-,-,-,-,-,18,0,-,0,,76.67,18,12.43
- - -,,Igor Zubeldia,"D (C), DM, M (C)",Real San Sebastián,,Spain (First Division),-,"£55,000 p/w",30/6/2026,ESP,BAS,-,"5'11""",79 kg,Right,26,Fairly Loyal,Scouting Required,£25M - £40M,2 (1),185,0,1,-,,,,,,,,2,0,0.667,13.92,2 (1),2,185,61.67,6.63,0,-,0,-,-,-,-,0,0,-,0,0,0,-,1,0.49,1,0.49,197,95.84,188,91.46,95%,0,0,0%,0,-,0,24.2km,18,8.76,12,5.84,67%,0,2,0.97,67%,2,0,0,3,1.46,14,-,-,-,-,-,-,-,-,3,0,-,0,1,61.67,3,11.773
- - -,,Fabián,"DM, M/AM (C)",Napoli,,Italy (Serie A),-,"£140,000 p/w",30/6/2027,ESP,,-,"6'2""",73 kg,Left,27,Fairly Professional,Scouting Required,£54M - £81M,12,990,0,1,-,0.3,0.3,0.3,0.027,,,,4,0.077,1.818,10.93,12,12,990,170,6.9,0,-,8,2,25%,0.73,0.18,0,0,-,0,0.3,1,0.12,1,0.09,4,0.36,933,84.82,832,75.64,89%,0,0,0%,0,-,2,140.3km,81,7.36,64,5.82,79%,0,20,1.82,77%,6,2,0,8,0.73,41,-,-,-,-,-,-,-,-,26,0,-,0,,82.5,26,12.755
- - -,,Javi Sánchez,D (C),Valladolid,,Spain (First Division),-,"£23,000 p/w",30/6/2027,ESP,,-,"6'2""",76 kg,Either,26,Fairly Determined,Scouting Required,£4M - £7.8M,9,794,1,0,-,-0.15,0.85,-0.15,0.096,,,,6,0,1.222,21.94,9,9,794,88.22,6.79,1,0.11,4,1,25%,0.45,0.11,0,0,-,0,0.85,0,-,0,-,0,-,466,52.82,437,49.53,94%,1,0,0%,0,-,2,86.4km,115,13.04,97,10.99,84%,3,11,1.25,85%,8,0,0,16,1.81,62,-,-,-,-,-,-,-,-,13,0,-,0,,88.22,13,9.793
- - -,,Cristian Glauder,"D (LC), WB (L)",Valladolid,,Spain (First Division),-,"£4,800 p/w",30/6/2025,ESP,,-,"6'0""",78 kg,Left,28,Balanced,Scouting Required,£750K - £1.7M,4 (1),334,0,0,-,0.01,0.01,0.01,0.003,,,,2,0.1,1.75,21.34,4 (1),4,334,66.8,6.6,0,-,1,0,0%,0.27,0,0,0,-,0,0.01,1,0.27,0,-,3,0.81,244,65.75,219,59.01,90%,4,2,50%,0,-,2,43.6km,27,7.28,24,6.47,89%,2,7,1.89,70%,4,1,0,12,3.23,23,-,-,-,-,-,-,-,-,10,0,-,0,1,66.8,10,11.749
- - -,,Fraser Forster,GK,Southampton,,England (Premier Division),-,"£48,500 p/w",30/6/2025,ENG,,-,"6'7""",98 kg,Right Only,35,Model Professional,Scouting Required,Not for Sale,12,"1,080",0,0,2,,,,,,,,0,,0,,12,12,"1,080",180,6.57,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,2,0.17,452,37.67,238,19.83,53%,-,-,-,0,-,0,80.1km,-,-,-,-,-,0,0,0,0%,0,0,0,0,-,-,19,1.58,2,-21263%,8,4,16,-4%,3,0,-,0,,90,,6.675
- - -,Lst,Stefan Ilsanker,"D (C), DM, M (C)",Eintracht Frankfurt,,Germany (Bundesliga),£100K,"£13,000 p/w",30/6/2024,AUT,,-,"6'2""",85 kg,Right,34,Spirited,Scouting Required,£100K,2,210,0,0,-,0.12,0.12,0.12,0.04,,,,3,1,0.333,20.74,2,2,210,210,6.95,0,-,2,0,0%,0.86,0,0,0,-,1,0.12,0,-,0,-,0,-,113,48.43,106,45.43,94%,0,0,0%,0,-,0,21.0km,37,15.86,28,12,76%,0,1,0.43,100%,3,1,0,4,1.71,21,-,-,-,-,-,-,-,-,1,0,-,0,,105,1,9
- - -,,Juan Pérez,GK,Atlético Pamplona,,Spain (First Division),-,"£4,400 p/w",30/6/2024,ESP,BAS,-,"6'3""",82 kg,Right,27,Balanced,Scouting Required,£500K - £1.1M,1 (1),148,0,0,1,,,,,,,,-1,,,,1 (1),1,148,74,7.2,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,1,0.61,55,33.45,19,11.55,35%,-,-,-,0,-,1,8.5km,-,-,-,-,-,0,-,-,-,0,0,0,0,-,-,1,0.61,1,0%,2,2,2,-14%,0,0,-,0,1,74,,5.169
- - -,,Jaime Seoane,"DM, M/AM (C)",A. Madrid,,Spain (First Division),-,"£13,250 p/w",30/6/2026,ESP,,-,"5'9""",73 kg,Right,26,Balanced,Scouting Required,£8.4M - £13M,1 (4),144,1,1,-,-0.81,0.19,-0.81,0.095,,,,0,,,,1 (4),1,144,28.8,7.27,1,0.62,4,2,50%,2.5,1.25,0,0,-,0,0.19,2,1.25,1,0.62,1,0.62,125,78.12,109,68.12,87%,0,0,0%,0,-,0,20.5km,6,3.75,3,1.88,50%,0,-,-,-,0,0,0,1,0.62,1,-,-,-,-,-,-,-,-,0,0,-,1,4,28.8,,12.813
- - -,Inj,Pedro Díaz,"DM, M/AM (C)",S. Gijón,,Spain (First Division),-,"£24,500 p/w",30/6/2026,ESP,,-,"5'11""",78 kg,Right,25,Fairly Loyal,Scouting Required,£7.4M - £9.4M,12,921,3,1,-,-1.83,1.17,-1.83,0.114,0.106,0.85,0.091,-1,0.053,1.564,7.11,12,12,921,76.75,6.81,3,0.29,11,4,36%,1.07,0.39,0,0,-,1,1.17,3,0.29,1,0.1,11,1.07,726,70.94,657,64.2,90%,15,4,26%,2,0.2,12,130.0km,44,4.3,31,3.03,70%,0,16,1.56,84%,11,1,0,10,0.98,22,-,-,-,-,-,-,-,-,19,0,-,0,,76.75,19,12.704
- - -,,Aitor Ruibal,"M (R), AM (RL), ST (C)",Bayer 04,,Germany (Bundesliga),-,"£15,750 p/w",30/6/2025,ESP,,-,"5'11""",75 kg,Right,27,Balanced,Scouting Required,£1.8M - £3.8M,0 (1),28,0,0,-,,,,,,,,0,0,1,,0 (1),-,28,28,6.5,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,1,-,3,-,3,-,100%,0,0,0%,0,-,0,4.3km,0,-,-,-,-,0,1,3.21,50%,0,0,0,0,-,0,-,-,-,-,-,-,-,-,2,0,-,0,1,,2,13.821
- - -,,Rafa Mir,ST (C),Sevilla,,Spain (First Division),-,"£30,000 p/w",30/6/2027,ESP,,-,"6'1""",75 kg,Right,26,Ambitious,Scouting Required,£9M - £11.5M,1 (10),364,2,0,-,1.13,3.13,1.13,0.626,0.125,0.64,,-2,0,0.2,9,1 (10),1,364,75.1,7.01,2,0.49,25,13,52%,6.18,3.21,0,0,-,2,3.13,0,-,0,-,2,0.49,162,40.05,142,35.11,88%,1,1,100%,3,0.74,7,48.3km,52,12.86,38,9.4,73%,0,1,0.25,50%,5,0,0,2,0.49,3,-,-,-,-,-,-,-,-,2,0,-,0,10,33.09,2,11.942
- - -,,Júnior Firpo,D/WB (L),Leeds,,England (Premier Division),-,"£68,000 p/w",30/6/2027,ESP,DOM,-,"6'0""",78 kg,Left,27,Balanced,Scouting Required,£28M - £43M,8,578,0,0,-,0.11,0.11,0.11,0.017,,,0,3,0.05,2.857,15.2,8,8,578,138.33,6.99,0,-,3,0,0%,0.47,0,0,0,-,2,0.11,2,0.4,0,-,7,1.09,370,57.61,333,51.85,90%,13,2,15%,5,0.78,4,79.9km,43,6.7,37,5.76,86%,1,20,3.11,100%,7,1,0,12,1.87,27,-,-,-,-,-,-,-,-,20,0,-,0,,72.25,20,12.441
- - -,Wnt,Toni Moya,M (RC),Alavés,,Spain (First Division),£1.6M,"£11,250 p/w",30/6/2025,ESP,,-,"5'11""",76 kg,Right,25,Balanced,Scouting Required,£1.7M,2,178,0,0,-,0.27,0.27,0.27,0.135,,,,-2,,0,7.08,2,2,178,89,6.45,0,-,1,0,0%,0.51,0,0,0,-,0,0.27,1,0.51,0,-,4,2.02,127,64.21,105,53.09,83%,0,0,0%,0,-,2,21.4km,15,7.58,10,5.06,67%,0,0,0,0%,0,0,0,2,1.01,4,-,-,-,-,-,-,-,-,3,0,-,0,,89,,10.82
- - -,,Shaq Moore,D/WB/M (R),Granada,,Spain (First Division),-,"£17,250 p/w",30/6/2025,USA,TRI,-,"5'11""",75 kg,Right,27,Fairly Professional,Scouting Required,£2.4M - £5M,3 (7),458,0,0,-,0.38,0.38,0.38,0.075,,,0,0,0.143,2.333,16.97,3 (7),3,458,45.8,6.8,0,-,4,1,25%,0.79,0.2,0,0,-,1,0.38,1,0.2,0,-,10,1.97,239,46.97,223,43.82,93%,27,3,11%,3,0.59,7,67.4km,45,8.84,33,6.48,73%,0,14,2.75,100%,7,2,0,18,3.54,28,-,-,-,-,-,-,-,-,14,0,-,0,7,45.8,14,13.245
- - -,,Oriol Busquets,"D (C), DM, M (C)",Clermont,,France (Ligue 1 Uber Eats),-,"£11,000 p/w",30/6/2027,ESP,,-,"6'1""",76 kg,Right,24,Fairly Professional,Scouting Required,£5.4M - £6.6M,11,846,0,3,-,0.14,0.14,0.14,0.015,,,0.2,3,0.063,1.4,8,11,11,846,76.91,7.07,0,-,2,0,0%,0.21,0,0,0,-,2,0.14,4,0.43,3,0.32,15,1.6,667,70.96,595,63.3,89%,9,3,33%,1,0.11,12,120.3km,53,5.64,44,4.68,83%,0,14,1.49,88%,15,1,0,8,0.85,18,-,-,-,-,-,-,-,-,16,0,-,2,,76.91,16,12.798
- - -,Ask,Óscar,"M (C), AM (LC)",RB Leipzig,,Germany (Bundesliga),-,"£51,000 p/w",30/6/2027,ESP,,-,"5'9""",67 kg,Right,25,Fairly Determined,Scouting Required,£33M - £42M,0 (1),17,0,0,-,0.17,0.17,0.17,0.17,,,,0,,,,0 (1),-,17,17,6.6,0,-,1,0,0%,-,-,0,0,-,0,0.17,0,-,0,-,0,-,7,-,7,-,100%,0,0,0%,0,-,0,2.9km,0,-,-,-,-,0,-,-,-,0,0,0,0,-,1,-,-,-,-,-,-,-,-,0,0,-,0,1,,,15.353
- - -,,Manu Morlanes,"DM, M/AM (C)",Villarreal,,Spain (First Division),-,"£14,750 p/w",30/6/2026,ESP,,-,"5'10""",75 kg,Right,24,Balanced,Scouting Required,£6M - £9.4M,0 (3),76,0,1,-,,,,,,,,-2,,,,0 (3),-,76,25.33,6.75,0,-,0,-,-,-,-,0,0,-,0,0,1,1.18,1,1.18,1,1.18,56,66.32,52,61.58,93%,0,0,0%,0,-,2,12.1km,5,5.92,3,3.55,60%,0,-,-,-,0,0,0,1,1.18,1,-,-,-,-,-,-,-,-,0,0,-,0,3,,,14.329
- - -,,Kirian,"DM, M/AM (C)",Las Palmas,,Spain (First Division),-,"£5,500 p/w",30/6/2024,ESP,,-,"5'11""",70 kg,Right,27,Balanced,Scouting Required,£140K - £1.4M,3 (7),467,1,0,-,-0.12,0.88,-0.12,0.17,,,0,1,0,1.833,6.09,3 (7),3,467,46.7,6.76,1,0.19,4,1,25%,0.77,0.19,0,0,-,0,0.88,1,0.19,0,-,8,1.54,313,60.32,270,52.03,86%,8,2,25%,2,0.39,4,70.0km,26,5.01,12,2.31,46%,0,11,2.12,100%,5,0,0,5,0.96,6,-,-,-,-,-,-,-,-,11,0,-,0,7,46.7,11,13.49
- - -,,Valon Behrami,"D (R), M (C)",Brescia,,Italy (Serie A),-,"£14,000 p/w",30/6/2024,SUI,ALB,Trained in nation (15-21),"6'1""",77 kg,Right,38,Ambitious,Scouting Required,£6K - £18K,0 (1),30,0,0,-,,,,,,,,0,,,,0 (1),-,30,30,6.8,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,0,-,33,-,30,-,91%,0,0,0%,0,-,0,4.7km,2,-,1,-,50%,0,-,-,-,0,0,0,1,-,0,-,-,-,-,-,-,-,-,0,0,-,0,1,,,14.1
- - -,,Enric Franquesa,D/WB/AM (L),Levante,,Spain (First Division),-,"£10,750 p/w",30/6/2025,ESP,,-,"5'9""",70 kg,Left,26,Balanced,Scouting Required,£130K - £1.3M,4 (5),554,0,0,-,0.69,0.69,0.69,0.112,,,0,8,0,2,11.93,4 (5),4,554,61.56,6.66,0,-,4,0,0%,0.65,0,0,0,-,3,0.69,0,-,0,-,7,1.14,290,47.11,267,43.38,92%,37,11,29%,5,0.81,3,77.2km,42,6.82,28,4.55,67%,0,14,2.27,78%,11,0,0,15,2.44,22,-,-,-,-,-,-,-,-,18,0,-,0,5,61.56,18,12.542
- - -,,Dani Gómez,"AM (C), ST (C)",Alavés,,Spain (First Division),-,"£15,000 p/w",30/6/2026,ESP,,-,"5'10""",73 kg,Right,25,Balanced,Scouting Required,£6M - £7.4M,11 (1),879,3,0,-,0.19,3.19,0.19,0.327,0.103,0,0,-13,0,0.6,6.9,11 (1),11,879,73.25,6.74,3,0.31,31,8,26%,3.17,0.82,0,0,-,0,3.19,2,0.2,0,-,11,1.13,389,39.83,313,32.05,80%,4,1,25%,6,0.61,20,115.4km,128,13.11,53,5.43,41%,0,6,0.61,50%,7,0,0,4,0.41,15,-,-,-,-,-,-,-,-,12,0,-,0,1,73.25,12,11.816
- - -,,Fran Beltrán,"DM, M (C)",Vigo,,Spain (First Division),-,"£11,750 p/w",30/6/2026,ESP,,-,"5'5""",64 kg,Right,24,Fairly Professional,Scouting Required,£11M - £14M,11 (1),880,1,1,-,0.08,1.08,0.08,0.11,,0.93,0.091,4,0.067,1.2,5.54,11 (1),11,880,73.33,6.98,1,0.1,7,1,14%,0.72,0.1,0,0,-,1,1.08,1,0.1,1,0.1,11,1.12,745,76.19,655,66.99,88%,5,1,20%,3,0.31,7,123.5km,24,2.45,14,1.43,58%,0,12,1.23,80%,11,1,0,19,1.94,12,-,-,-,-,-,-,-,-,15,0,-,0,1,73.33,15,12.631
- - -,,Marc Cardona,"AM (L), ST (C)",Getafe,,Spain (First Division),-,"£18,000 p/w",30/6/2025,ESP,,-,"6'0""",72 kg,Right,28,Balanced,Scouting Required,£60K - £600K,0 (5),77,0,0,-,1.01,1.01,1.01,1.01,,0,,0,,,,0 (5),-,77,15.4,6.45,0,-,3,1,33%,3.51,1.17,0,0,-,0,1.01,0,-,0,-,0,-,36,42.08,31,36.23,86%,0,0,0%,1,1.17,1,9.3km,10,11.69,5,5.84,50%,0,-,-,-,1,0,0,0,-,2,-,-,-,-,-,-,-,-,0,0,-,0,5,,,10.87
- - -,Wnt,Edgar,"D (C), DM",Real Hispalis,,Spain (First Division),-,"£24,000 p/w",30/6/2025,ESP,,-,"6'4""",78 kg,Right Only,26,Balanced,Scouting Required,£400K - £7.6M,2 (5),357,0,0,-,0.02,0.02,0.02,0.005,,,,0,0,0.5,21.68,2 (5),2,357,98.7,6.99,0,-,1,0,0%,0.25,0,0,0,-,0,0.02,0,-,0,-,0,-,263,66.3,249,62.77,95%,0,0,0%,0,-,1,38.1km,60,15.13,50,12.61,83%,0,2,0.5,100%,1,0,0,8,2.02,36,-,-,-,-,-,-,-,-,2,0,-,0,5,51,2,9.605
- - -,,Oriol Rey,"D (C), DM, M (C)",AS Saint-Etienne,,France (Ligue 1 Uber Eats),-,"£16,750 p/w",30/6/2027,ESP,,-,"5'11""",71 kg,Left,25,Balanced,Scouting Required,£5M - £6.4M,9 (2),800,0,0,-,1.09,1.09,1.09,0.123,,0,0,-1,0.154,1.222,7.17,9 (2),9,800,72.73,7.1,0,-,7,2,29%,0.79,0.22,0,0,-,0,1.09,3,0.34,0,-,11,1.24,563,63.34,520,58.5,92%,4,0,0%,0,-,5,108.8km,40,4.5,26,2.92,65%,0,11,1.24,85%,4,2,0,13,1.46,19,-,-,-,-,-,-,-,-,13,0,-,0,2,72.73,13,12.24
- - -,,Álvaro Aguado,"DM, M/AM (C)",Valladolid,,Spain (First Division),-,"£5,750 p/w",30/6/2025,ESP,,-,"5'9""",66 kg,Right,27,Balanced,Scouting Required,£375K - £3.9M,1 (6),292,0,0,-,0.03,0.03,0.03,0.008,,,,4,0,0.75,6.1,1 (6),1,292,41.71,6.53,0,-,2,0,0%,0.62,0,0,0,-,1,0.03,2,0.62,0,-,2,0.62,217,66.88,190,58.56,88%,3,0,0%,0,-,2,40.9km,14,4.32,11,3.39,79%,0,3,0.92,75%,6,0,0,2,0.62,6,-,-,-,-,-,-,-,-,4,0,-,0,6,41.71,4,12.606
- - -,,Martín Aguirregabiría,D/WB (R),Girona,,Spain (First Division),-,"£11,000 p/w",30/6/2025,ESP,BAS,-,"5'10""",69 kg,Right,27,Fairly Determined,Scouting Required,£300K - £3.1M,11,990,0,3,-,0.17,0.17,0.17,0.015,,,0.188,6,0.05,2.545,16.15,11,11,990,90,6.92,0,-,2,0,0%,0.18,0,0,0,-,2,0.17,0,-,3,0.27,16,1.45,511,46.45,470,42.73,92%,50,15,30%,6,0.55,8,134.2km,93,8.45,72,6.55,77%,0,28,2.55,70%,14,2,0,31,2.82,61,-,-,-,-,-,-,-,-,40,0,-,0,,90,40,12.2
- - -,,Martín Zubimendi,"DM, M (C)",Real San Sebastián,,Spain (First Division),-,"£17,750 p/w",30/6/2025,ESP,BAS,-,"5'11""",74 kg,Right,24,Fairly Loyal,Scouting Required,£51M - £61M,5 (5),451,1,1,-,-0.38,0.62,-0.38,0.124,,,0.143,1,0.083,1.833,6.23,5 (5),5,451,45.1,6.97,1,0.2,6,1,17%,1.2,0.2,0,0,-,1,0.62,0,-,1,0.2,7,1.4,371,74.04,334,66.65,90%,7,2,28%,0,-,4,62.2km,18,3.59,9,1.8,50%,0,11,2.2,92%,5,1,0,2,0.4,11,-,-,-,-,-,-,-,-,12,0,-,1,5,45.1,12,12.412
- - -,,Pol Lozano,M (C),Espanyol,,Spain (First Division),-,"£13,250 p/w",30/6/2026,ESP,,-,"5'9""",67 kg,Right,24,Fairly Determined,Scouting Required,£325K - £3.3M,1 (4),160,0,0,-,0.14,0.14,0.14,0.07,,,,2,0.667,1,3.26,1 (4),1,160,32,6.45,0,-,1,0,0%,0.56,0,0,0,-,0,0.14,1,0.56,0,-,2,1.12,120,67.5,110,61.88,92%,0,0,0%,1,0.56,0,21.1km,2,1.12,1,0.56,50%,0,2,1.12,67%,2,2,0,1,0.56,2,-,-,-,-,-,-,-,-,3,0,-,0,4,32,3,11.869
- - -,,Álex Collado,M/AM (RLC),Bayer 04,,Germany (Bundesliga),-,"£28,000 p/w",30/6/2027,ESP,,-,"5'8""",65 kg,Left,24,Spirited,Scouting Required,£24M - £31M,16,"1,378",1,7,-,0.59,1.59,0.59,0.104,0.076,1.89,0.269,-12,0,1.11,7.46,16,16,"1,378",256.95,7.52,1,0.07,21,9,43%,1.37,0.59,0,0,-,3,1.59,9,1.29,7,0.46,26,1.7,572,37.36,500,32.66,87%,42,14,33%,44,2.87,19,199.2km,65,4.25,39,2.55,60%,1,17,1.11,81%,7,0,0,28,1.83,29,-,-,-,-,-,-,-,-,21,0,-,6,,86.13,21,13.01
